abv,image,name,official_content,origin,url,winery,year
46.0%,null,Tobermory 2008 9 Year (Càrn Mòr),null,null,https://distiller.com/spirits/tobermory-2008-9-year-carn-mor,"
Islands, Scotland
",9
58.4%,null,Tipperary Boutique Selection Rioja Finish,null,null,https://distiller.com/spirits/tipperary-boutique-selection-rioja-finish,"
Ireland
",
54.2%,null,Gelston’s 26 Year Old Single Malt,null,null,https://distiller.com/spirits/gelston-s-26-year-old-single-malt,"
Ireland
",26
47.0%,null,Tipperary The Rising 11 Year Old Single Malt,null,null,https://distiller.com/spirits/tipperary-the-rising-11-year-old-single-malt,"
Ireland
",11
41.2%,null,Gelston’s 5 Year Old Single Malt,null,null,https://distiller.com/spirits/gelston-s-5-year-old-single-malt,"
Ireland
",5
40.0%,null,Signature Reserve,null,null,https://distiller.com/spirits/signature-reserve,"
USA
",4
46.0%,null,Dingle Gold,null,null,https://distiller.com/spirits/dingle-gold,"
Ireland
",
49.8%,null,Invergordon 25 year old - batch 9 - that boutique-y whisky company,null,null,https://distiller.com/spirits/invergordon-25-year-old-batch-9-that-boutique-y-whisky-company,"
USA
",25
58.3%,null,Five lions peatside,null,null,https://distiller.com/spirits/five-lions-peatside,"
Speyside, Scotland
",7
52.9%,null,Ledaig 21 Manzanilla Cask,null,null,https://distiller.com/spirits/ledaig-21-manzanilla-cask,"
Isle of Mull, Scotland
",21
58.95%,null,Sonoma Distilling Co. Single Barrel Reserve Straight Rye Whiskey,null,null,https://distiller.com/spirits/sonoma-distilling-co-single-barrel-reserve-straight-rye-whiskey,"
California, USA
",3
30.0%,null,Whiskey Girl Apple & Maple,null,null,https://distiller.com/spirits/whiskey-girl-apple-maple,"
Hilton Head South Carolina , USA
",
59.15%,null,FEW BOURBON WHISKEY CASK STRENGTH,null,null,https://distiller.com/spirits/few-bourbon-whiskey-cask-strength,"
Il, USA
",
47.9%,null,Auchroisk 12 Year Old (That Boutique-y Whisky Company),null,null,https://distiller.com/spirits/auchroisk-12-year-old-that-boutique-y-whisky-company,"
Speyside, Scotland
",12
46.0%,null,The Bridge An Dara,null,null,https://distiller.com/spirits/the-bridge-an-dara,"
Ireland
",
43.0%,null,Skibbereen Eagle Single Grain,null,null,https://distiller.com/spirits/skibbereen-eagle-single-grain,"
Ireland
",
56.0%,null,Mizen Head 14 Year Single Malt Cask Strength,null,null,https://distiller.com/spirits/mizen-head-14-year-single-malt-cask-strength,"
Ireland
",14
43.0%,null,Skibbereen Eagle Single Malt,null,null,https://distiller.com/spirits/skibbereen-eagle-single-malt,"
Ireland
",
57.0%,null,Skibbereen Eagle Single Cask,null,null,https://distiller.com/spirits/skibbereen-eagle-single-cask,"
Ireland
",
56.5%,null,Jack Ryan 12 Year Single Malt Cask Strength,null,null,https://distiller.com/spirits/jack-ryan-12-year-single-malt-cask-strength,"
Ireland
",12
67.5%,null,Jack Ryan The Centenary,null,null,https://distiller.com/spirits/jack-ryan-the-centenary,"
Ireland
",15
46.0%,https://ip.distiller.com/images/spirits/f2da1c10-31a7-0138-5daf-6ed6fb78c272/the_sassenach_blended_scotch_tile.jpg?1581719895,The Sassenach Blended Scotch,"The Sassenach Blended Scotch is a brand launched by Scottish actor Sam Heughan best known for his work in the Starz series ""Outlander."" Few details have emerged about this brand, but it is expected to launch in the US in March 2020. "," Scotland
",https://distiller.com/spirits/the-sassenach-blended-scotch,"
The Sassenach ",NAS
57.5%,null,Jack Ryan Finca Museum Rioja,null,null,https://distiller.com/spirits/jack-ryan-finca-museum-rioja,"
Ireland
",
46.0%,null,Jack Ryan Toomevara,null,null,https://distiller.com/spirits/jack-ryan-toomevara,"
Ireland
",10
46.0%,null,Jack Ryan Finisher’s Touch,null,null,https://distiller.com/spirits/jack-ryan-finisher-s-touch,"
Ireland
",12
46.0%,null,Jack Ryan Haddington,null,null,https://distiller.com/spirits/jack-ryan-haddington,"
Ireland
",11
%,null,Wilderness Trail,null,null,https://distiller.com/spirits/wilderness-trail,"
USA
",
42.0%,null,Grace O’Malley Dark Char & Rum Cask Limited Edition,null,null,https://distiller.com/spirits/grace-o-malley-dark-char-rum-cask-limited-edition,"
Ireland
",
59.0%,null,Penderyn Single Cask Tawny Port,null,null,https://distiller.com/spirits/penderyn-single-cask-tawny-port,"
Wales
",6
55.8%,null,Killowen Bonded Experimental Series 10 Year Txakolina Acacia Cask Finish,null,null,https://distiller.com/spirits/killowen-bonded-experimental-series-10-year-txakolina-acacia-cask-finish,"
Ireland
",10
58.5%,null,Hickory Hill Cask Strength,null,null,https://distiller.com/spirits/hickory-hill-cask-strength,"
Texas, USA
",
50.2%,null,Macduff 10 Year Old (That Boutique-y Whisky Company),null,null,https://distiller.com/spirits/macduff-10-year-old-that-boutique-y-whisky-company,"
Highland, Scotland
",10
40.0%,null,DWD Heritage Edition Irish Whiskey,null,null,https://distiller.com/spirits/dwd-heritage-edition-irish-whiskey,"
Ireland
",
56.9%,null,Edradour 2009 10 Year Cask Strength Un-Chillfiltered Collection (Signatory) Whiskey.de exklusiv,null," Highlands, Scotland
",https://distiller.com/spirits/edradour-2009-10-year-cask-strength-un-chillfiltered-collection-signatory-whiskey-de-exklusiv,"
Signatory Un-Chillfiltered Collection ",10 Year
59.9%,null,A Tropical Breakfast 39.150 (SMWS),null," Speyside , Scotland
",https://distiller.com/spirits/a-tropical-breakfast-39-150-smws,"
SMWS ",9 Year
56.0%,null,Alexander Murray & Co Bruichladdich 12 Year Old,null,null,https://distiller.com/spirits/alexander-murray-co-bruichladdich-12-year-old,"
Islay, Scotland
",12
45.0%,null,Moutard Esprit de Malt,null,null,https://distiller.com/spirits/moutard-esprit-de-malt,"
France
",
%,null,Alfred Giraud Heritage Malt Whisky,null,null,https://distiller.com/spirits/alfred-giraud-heritage-malt-whisky,"
France
",
55.4%,null,Glenugie 1977 32 yr old,null,null,https://distiller.com/spirits/glenugie-1977-32-yr-old,"
Highland , Scotland
",33
%,null,Willett Family Estate 21 year,null,null,https://distiller.com/spirits/willett-family-estate-21-year,"
Kentucky, USA
",21
45.0%,null,Oak and eden wheat & spire fired French oak,null,null,https://distiller.com/spirits/oak-and-eden-wheat-spire-fired-french-oak,"
Texas, USA
",
53.7%,null,Maker’s Mark Private Select,null,null,https://distiller.com/spirits/maker-s-mark-private-select,"
Kentucky, USA
",
62.5%,null,"IronRoot Harbinger ""I'm Your Huckleberry"" Bourbon Charity Pick",null,null,https://distiller.com/spirits/ironroot-harbinger-i-m-your-huckleberry-bourbon-charity-pick,"
Texas, USA
",3
60.0%,null,Knob Creek Single Barrel Select - Windmill Beverages Barrel #8865 B,null,null,https://distiller.com/spirits/knob-creek-single-barrel-select-windmill-beverages-barrel-8865-b,"
Kentucky, USA
",15
52.9%,null,Single Cask Nation MGP 12 Year Bourbon,null,null,https://distiller.com/spirits/single-cask-nation-mgp-12-year-bourbon,"
Indiana, USA
",12
40.0%,null,Hatozaki Finest Japanese Whiskey,null,null,https://distiller.com/spirits/hatozaki-finest-japanese-whiskey,"
Japan
",
58.9%,https://ip.distiller.com/images/spirits/ed9b12b0-30c3-0138-fb67-5207c91a14ee/redbreast_small_batch_cask_strength_tile.jpg?1581622629,Redbreast Small Batch Cask Strength Batch D,"In November 2019, Irish Distillers released four small batch cask strength batches for its Redbreast Single Pot Still brand. These four batches each matured for 14 years (although there is no-age statement on the bottle) in a mix of ex-bourbon and ex-oloroso sherry casks with different proportions of barrel formulas for each. Batch D is bottled at 58.9% ABV. Limited availability to San Diego, San Francisco, and Boston. Only 252 bottles for each batch. "," Ireland
",https://distiller.com/spirits/redbreast-small-batch-cask-strength-batch-d,"
Redbreast ",NAS
63.7%,null,Double Cask Nation Craigellachie 9 Sherry Octaves,null,null,https://distiller.com/spirits/double-cask-nation-craigellachie-9-sherry-octaves,"
Speyside, Scotland
",9
44.5%,null,Quantum Spirits Experimental Rye,null,null,https://distiller.com/spirits/quantum-spirits-experimental-rye,"
Carnegie, pa, USA
",
43.0%,null,Old Fitzgerald Collector’s Gallery 1971 Stitzel Weller,null,null,https://distiller.com/spirits/old-fitzgerald-collector-s-gallery-1971-stitzel-weller,"
Kentucky , USA
",7
100.0%,null,Knob Creek Single Barrel Select 11 years Woodmans,null,null,https://distiller.com/spirits/knob-creek-single-barrel-select-11-years-woodmans,"
Kentucky, USA
",11
60.0%,null,Mars Double Cask Komagatake 2019,null,null,https://distiller.com/spirits/mars-double-cask-komagatake-2019,"
Shinshu , Japan
",
%,null,Tamdhu Speyside Single Malt 12,null,null,https://distiller.com/spirits/tamdhu-speyside-single-malt-12,"
Speyside, Scotland
",12
55.5%,null,Deanston 20 years old oloroso cask,null,null,https://distiller.com/spirits/deanston-20-years-old-oloroso-cask,"
Highlands , Scotland
",20
50.0%,null,Short mountain red pecker rye,null,null,https://distiller.com/spirits/short-mountain-red-pecker-rye,"
Woodbury, Tennessee, USA
",4
50.0%,null,Abraham Bowman,null,null,https://distiller.com/spirits/abraham-bowman,"
Virginia, USA
",13
100.0%,null,Abraham Bowman Limited Edition Twice Finished,null,null,https://distiller.com/spirits/abraham-bowman-limited-edition-twice-finished,"
USA
",13
43.0%,null,Suttcliffe & Son The Exceptional Malt,null,null,https://distiller.com/spirits/suttcliffe-son-the-exceptional-malt,"
Scotland
",
51.9%,https://ip.distiller.com/images/spirits/33f9e530-2e78-0138-800a-7eb011b35c00/bbradshaw_bourbon_tile.jpg?1581380668,Bradshaw Bourbon,"Bradshaw Bourbon is made in collaboration with Silver Screen Bottling Company and NFL Hall of Fame quarterback Terry Bradshaw. This sourced no-age statement Kentucky straight bourbon is bottled at 51.9% ABV, the same percentage as Bradshaw's passing completion rate in his 14 years with the Pittsburgh Steelers. Available online as of February 2020 with an expected nationwide release to roll out in the following months. "," Kentucky, USA
",https://distiller.com/spirits/bradshaw-bourbon,"
Bradshaw ",NAS
50.4%,https://ip.distiller.com/images/spirits/3b423030-2e76-0138-8009-7eb011b35c00/rosebank_1993_cask_625_tile.jpg?1581381364,Rosebank 1993 Cask #625,"This limited edition Rosebank is one of two single cask bottlings made from spirit distilled the year Rosebank closed its doors in 1993. They were released by Ian Macleod Distillers which acquired the Lowlands single malt brand and its remaining stocks in 2017. Construction began on the distillery's former site in late 2019. This triple distilled single malt matured in a refill bourbon hogshead (cask #625). It was bottled in 2019 at cask strength of 50.4% ABV with just 259 bottles produced. Initial availability begins on February 14, 2020 via online lottery followed by a general release a few days later."," Lowlands, Scotland
",https://distiller.com/spirits/rosebank-1993-cask-625,"
Rosebank ",
53.8%,null,Barely Legal - Iberian Beauty - Part 1,null,null,https://distiller.com/spirits/barely-legal-iberian-beauty-part-1,"
Denmark
",3
46.0%,null,Arran Rum Finish v2018,null,null,https://distiller.com/spirits/arran-rum-finish-v2018,"
Scotland
",
%,null,Cali Distillery Mavericks Double Wood,null,null,https://distiller.com/spirits/cali-distillery-mavericks-double-wood,"
USA
",
53.3%,https://ip.distiller.com/images/spirits/bfb48bb0-2e75-0138-4986-464641e6ce2a/rosebank_1993_cask_433_tile.jpg?1581381352,Rosebank 1993 Cask #433,"This limited edition Rosebank is one of two single cask bottlings made from spirit distilled the year Rosebank closed its doors in 1993. They were released by Ian Macleod Distillers which acquired the Lowlands single malt brand and its remaining stocks in 2017. Construction began on the distillery's former site in late 2019. This triple distilled single malt matured in a refill bourbon hogshead (cask #433). It was bottled in 2019 at cask strength of 53.3% ABV with just 280 bottles produced. Initial availability begins on February 14, 2020 via online lottery followed by a general release a few days later."," Lowlands, Scotland
",https://distiller.com/spirits/rosebank-1993-cask-433,"
Rosebank ",NAS
46.0%,null,Real Spirits Texas Hill Country Signature Whiskey,null,null,https://distiller.com/spirits/real-spirits-texas-hill-country-signature-whiskey,"
Texas, USA
",
46.0%,null,Launceston Tawny Cask,null,null,https://distiller.com/spirits/launceston-tawny-cask,"
Tasmania, Australia
",
54.0%,null,Litchfield Distillery Batchers Bourbon 10.5 Year,null,null,https://distiller.com/spirits/litchfield-distillery-batchers-bourbon-10-5-year,"
USA
",10
41.5%,null,Luca Mariano Small Batch Rye,null,null,https://distiller.com/spirits/luca-mariano-small-batch-rye,"
Kentucky , USA
",4
62.7%,null,Ironroot Republic Harbinger Single Barrel Cask Strength,null,null,https://distiller.com/spirits/ironroot-republic-harbinger-single-barrel-cask-strength,"
Texas, USA
",3
41.7%,null,Ohishi Whiskey,null,null,https://distiller.com/spirits/ohishi-whiskey,"
Japan
",10
52.1%,null,High West Double Rye Barrel Select Hi Time Wine Cellars,null,null,https://distiller.com/spirits/high-west-double-rye-barrel-select-hi-time-wine-cellars,"
USA
",
55.0%,null,Russell’s Reserve Private Barrel Selection “Mint Pie”,null,null,https://distiller.com/spirits/russell-s-reserve-private-barrel-selection-mint-pie,"
Kentucky, USA
",10
56.7%,null,Caol Ila 2006 Cask Strength Collection (Signatory),null,null,https://distiller.com/spirits/caol-ila-2006-cask-strength-collection-signatory,"
Islay, Scotland
",12
40.0%,null,Glen Ranoch Single Malt,null,null,https://distiller.com/spirits/glen-ranoch-single-malt,"
Highland, Scotland
",
40.0%,null,Spey River,null,null,https://distiller.com/spirits/spey-river,"
Speyside, Scotland
",12
46.0%,null,Kaiyo the Sheri second edition,null,null,https://distiller.com/spirits/kaiyo-the-sheri-second-edition,"
Japan , Japan
",
62.85%,null,W.L. Weller 2018 Edition,null,null,https://distiller.com/spirits/w-l-weller-2018-edition,"
Kentucky, USA
",12
45.0%,null,Moonshine Ridge Gunlock Original Rye Whiskey,null,null,https://distiller.com/spirits/moonshine-ridge-gunlock-original-rye-whiskey,"
USA
",
50.0%,null,Rittenhouse Rye 23 Year,null,null,https://distiller.com/spirits/rittenhouse-rye-23-year,"
Kentucky, USA
",23
54.0%,null,Jim Beam Single Barrel,null,null,https://distiller.com/spirits/jim-beam-single-barrel,"
USA
",
60.2%,null,Gelfling Wing Sealant (36.160 SMWS),null,null,https://distiller.com/spirits/gelfling-wing-sealant-36-160-smws,"
Speyside, Scotland
",11
43.0%,null,Bastille single malt,null,null,https://distiller.com/spirits/bastille-single-malt,"
France, France
",
46.0%,null,The Arran 1998 The Westie,null,null,https://distiller.com/spirits/the-arran-1998-the-westie,"
West Highlands, Scotland
",13
40.0%,null,Glen Broch 10 Year Old,null,null,https://distiller.com/spirits/glen-broch-10-year-old,"
Scotland
",10
43.0%,null,Auchentoshan dark oak,null,null,https://distiller.com/spirits/auchentoshan-dark-oak,"
Lowlands, Scotland
",
40.0%,null,Wiser's Very Old 18 year,null,null,https://distiller.com/spirits/wiser-s-very-old-18-year,"
Canada
",18
54.5%,null,Tamdhu 1988 30yr Single Sherry Cask,null,null,https://distiller.com/spirits/tamdhu-1988-30yr-single-sherry-cask,"
Speyside , Scotland
",30
56.2%,null,Arran Machrie Moor Cask Strength Single Malt,null,null,https://distiller.com/spirits/arran-machrie-moor-cask-strength-single-malt,"
Islands, Scotland
",
50.0%,null,Port Charlotte Islay Barley 2012,null," Islay, Scotland
",https://distiller.com/spirits/port-charlotte-islay-barley-2012,"
Port Charlotte ",6 Year
%,null,James Eadie’s Trade Mark X,null,null,https://distiller.com/spirits/james-eadie-s-trade-mark-x,"
Scotland
",
43.0%,null,Berkshire Mountain Terrapin Cask,null,null,https://distiller.com/spirits/berkshire-mountain-terrapin-cask,"
USA
",
30.0%,null,Brown Sugar Bourbon (BSB),null,null,https://distiller.com/spirits/brown-sugar-bourbon-bsb,"
Pacific NorthWest, USA
",
46.0%,null,Benromach Peat Smoke 2009,null,null,https://distiller.com/spirits/benromach-peat-smoke-2009,"
Speysife, Scotland
",11
43.0%,null,Gold Cock,null,null,https://distiller.com/spirits/gold-cock,"
The Moravian Countryside, Czech Republic
",12
58.1%,null,Glenburgie 1995 GM,null,null,https://distiller.com/spirits/glenburgie-1995-gm,"
Scotland
",21
43.0%,null,Jelinek Gold Cock,null,null,https://distiller.com/spirits/jelinek-gold-cock,"
The Moravian Countryside, Czech Republic
",12
65.2%,null,Balcones Peated Texas single malt whisky 2019,null,null,https://distiller.com/spirits/balcones-peated-texas-single-malt-whisky-2019,"
Texas, USA
",3
%,null,Laphroiag 25 year cask strength 2013,null,null,https://distiller.com/spirits/laphroiag-25-year-cask-strength-2013,"
Islay, Scotland
",25
47.0%,null,Elijah Craig Small Batch - RB&B,null,null,https://distiller.com/spirits/elijah-craig-small-batch-rb-b,"
Bardstown, KY, USA
",10
55.1%,null,Maker’s Mark Private Select - CWS,null,null,https://distiller.com/spirits/maker-s-mark-private-select-cws,"
Loretta, KY, USA
",10
60.0%,null,Knob Creek Select - Joey’s Chair,null,null,https://distiller.com/spirits/knob-creek-select-joey-s-chair,"
Clermont, KY, USA
",11
48.5%,null,Pinhook Rye’d On,null,null,https://distiller.com/spirits/pinhook-rye-d-on,"
Kentucky, USA
",2
43.0%,https://ip.distiller.com/images/spirits/0cfd8ff0-2b4d-0138-42b5-5a3398f3832f/kilbeggan_single_pot_Still_tile.jpg?1581026894,Kilbeggan Single Pot Still,Kilbeggan Single Pot Still is a limited edition release from the brand. Single pot still whiskey is unique to Ireland and this bottling features 2.5% oats in its makeup in addition to the malted and unmalted barley. It was double distilled in copper pot stills and matured in ex-bourbon barrels for 8-9 years. This is the second limited edition release to be entirely distilled and matured at the Kilbeggan Distillery which was restored in 2010. Available in the US as of February 2020. ," Ireland
",https://distiller.com/spirits/kilbeggan-single-pot-still,"
Kilbeggan ",NAS
57.5%,null,Knob Creek Select Rye - The Blind Barbour,null,null,https://distiller.com/spirits/knob-creek-select-rye-the-blind-barbour,"
Clermont, KY, USA
",6
%,null,Poland,null,null,https://distiller.com/spirits/poland,"
Scotland
",
%,null,Criadores 50 Aniversario,null,null,https://distiller.com/spirits/criadores-50-aniversario,"
Argentina
",
48.6%,null,Glenlivet 1981 34 Year Cask Strength Collection (Signatory),null," Speyside, Scotland
",https://distiller.com/spirits/glenlivet-1981-34-year-cask-strength-collection-signatory,"
Signatory Cask Strength Collection ",34 Year
54.35%,null,Deadwood straight bourbon whiskey heavy rye mash bill single barrel barrel proof,null,null,https://distiller.com/spirits/deadwood-straight-bourbon-whiskey-heavy-rye-mash-bill-single-barrel-barrel-proof,"
USA
",4
92.0%,null,Larceny Kentucky Straight Bourbon Whiskey Single Barrel Spec’s Pick#6196287,null,null,https://distiller.com/spirits/larceny-kentucky-straight-bourbon-whiskey-single-barrel-spec-s-pick-6196287,"
Bardstown Kentucky , USA
",7
40.0%,null,White Water Whiskey,null,null,https://distiller.com/spirits/white-water-whiskey,"
USA
",
43.0%,null,Glenfiddich experimental series 01 finished in pale ale casks,null,null,https://distiller.com/spirits/glenfiddich-experimental-series-01-finished-in-pale-ale-casks,"
Banffshire, Scotland
",
50.0%,https://ip.distiller.com/images/spirits/f57782d0-2a8f-0138-9417-1af24a449137/woodinville_bib_tile.jpg?1580939648,Woodinville Bottled-in-Bond Straight Bourbon Whiskey,"This bourbon aged five years in heavily charred new American oak barrels. It is bottled-in-bond (100 proof) and a distillery-only, limited-edition release. Woodinville Whiskey Company is a craft distillery that ages all of its whiskeys at Omlin Family farm in Quincy, Washington; the same farm where it sources its grains."," Washington, USA
",https://distiller.com/spirits/woodinville-bottled-in-bond-straight-bourbon-whiskey,"
Woodinville ",NAS
50.0%,null,Knob Creek Kentucky Straight Bourbon Whiskey,null,null,https://distiller.com/spirits/knob-creek-kentucky-straight-bourbon-whiskey,"
Kentucky, USA
",12
42.0%,https://ip.distiller.com/images/spirits/0401f8f0-2a92-0138-b71a-52aad94f92ef/mcconnells_irish_whisky_tile.jpg?1581021267,McConnell's Irish Whisky 5 Year,"McConnell's Irish Whisky is a brand that was first established in Belfast in 1776 by brothers John & James McConnell and is the oldest whisky brand to come from Ireland. Although the brand went dormant in 1958, Conecuh Brands has relaunched it in 2020. Great Northern Distillery based in Co. Louth made the whisky as the brand awaits its own distillery in Belfast to open. This is an Irish blend that aged 5 years in American oak. Bottled at 42% ABV. "," Ireland
",https://distiller.com/spirits/mcconnell-s-irish-whisky-5-year,"
McConnell's ",5 Year
46.0%,null,Teeling Distillery Edition Chinkapin Oak,null,null,https://distiller.com/spirits/teeling-distillery-edition-chinkapin-oak,"
Ireland
",
64.45%,null,Bookers 2014- 07,null,null,https://distiller.com/spirits/bookers-2014-07,"
USA
",
43.0%,null,Old Sandhill Single Malt Whisky Portwine Cask,null,null,https://distiller.com/spirits/old-sandhill-single-malt-whisky-portwine-cask,"
Brandenburg, Germany
",
40.0%,null,Glen Roger's,null,null,https://distiller.com/spirits/glen-roger-s,"
Highalnds-Distilled in Scotland, France
",8
45.0%,null,Muckleyeye Straight Rye Whiskey,null,null,https://distiller.com/spirits/muckleyeye-straight-rye-whiskey,"
New Jersey, USA
",
40.0%,null,Bullshine Peach Flavored Whiskey,null,null,https://distiller.com/spirits/bullshine-peach-flavored-whiskey,"
USA
",
45.5%,https://ip.distiller.com/images/spirits/6f3c12c0-2a8a-0138-b17e-46c459523778/woodinville_triple_barrel_tile.jpg?1580937275,Woodinville Triple Barrel Blended Whiskey,"This blended whiskey is initially aged in new, heavy-toasted, lightly charred
American oak barrels and then re-barreled into used bourbon
barrels for additional aging. For finishing, It's re-barreled a third time into used
Ardbeg Islay scotch barrels. Woodinville Whiskey Company is a craft distillery that ages all of its whiskeys at Omlin Family farm in Quincy, Washington; the same farm where it sources its grains."," Washington, USA
",https://distiller.com/spirits/woodinville-triple-barrel-blended-whiskey,"
Woodinville ",NAS
57.1%,null,Amrut 100,null,null,https://distiller.com/spirits/amrut-100,"
Bangalore, India
",
40.0%,https://ip.distiller.com/images/spirits/c77aa030-29bf-0138-620b-4604dd99fb8c/jameson_st_patrick_2020_tile.jpg?1580853530,Jameson St. Patrick's Day Edition 2020,Jameson St. Patrick’s Day Edition 2020 is a limited edition bottling of the classic Irish blend. This special bottling was designed by Dublin-based designer & illustrator Hephee (Stephen Heffernan). This bottle has a special NFC chip and QR code which allows purchasers to customize their own labels through hidden icons designed by Hephee.," Ireland
",https://distiller.com/spirits/jameson-st-patrick-s-day-edition-2020,"
Jameson ",NAS
57.8%,null,Mortlach 2008 9 Year Old Malt Cask (Hunter Laing),null,null,https://distiller.com/spirits/mortlach-2008-9-year-old-malt-cask-hunter-laing,"
Speyside, Scotland
",9
61.0%,null,Bowmore 2013 5 Year Old Particular (Douglas Laing),null,null,https://distiller.com/spirits/bowmore-2013-5-year-old-particular-douglas-laing,"
Islay, Scotland
",5
40.0%,null,The Pogues Single Malt,null,null,https://distiller.com/spirits/the-pogues-single-malt,"
West Cork Distillers, Ireland
",
43.0%,null,Mortlach 16,null,null,https://distiller.com/spirits/mortlach-16,"
Speyside, Scotland
",16
48.4%,null,Mackmyra Whisky Moment Vinterträdgård,null,null,https://distiller.com/spirits/mackmyra-whisky-moment-vintertradgard,"
Sweden, Sweden
",
52.4%,null,Gelston’s 25 Year,null,null,https://distiller.com/spirits/gelston-s-25-year,"
Northern Ireland, Ireland
",25
52.8%,null,Duncan Taylor Rare Auld Bruichladdich Port Charlotte 14 Year Cask 97610,null,null,https://distiller.com/spirits/duncan-taylor-rare-auld-bruichladdich-port-charlotte-14-year-cask-97610,"
Islay, Scotland
",14
%,null,Haig Dimple Old Blended Scotch Whiskey,null,null,https://distiller.com/spirits/haig-dimple-old-blended-scotch-whiskey,"
Markinch, Scotland
",
45.0%,null,Firestone & Robertson,null,null,https://distiller.com/spirits/firestone-robertson,"
Ft Worth, TX, USA
",
40.0%,null,Old Charter 8,null,null,https://distiller.com/spirits/old-charter-8,"
USA
",
97.0%,null,Sagamore,null,null,https://distiller.com/spirits/sagamore,"
USA
",3
50.9%,null,Lagavulin Jazz Festival 2019 21Y,null,null,https://distiller.com/spirits/lagavulin-jazz-festival-2019-21y,"
Islay, Scotland
",21
55.1%,null,Bunnahabhain 10Y Manzanilla,null,null,https://distiller.com/spirits/bunnahabhain-10y-manzanilla,"
Islay, Scotland
",10
20.0%,null,Ole Smoky Moonshine Strawberry Mango Margarita,null,null,https://distiller.com/spirits/ole-smoky-moonshine-strawberry-mango-margarita,"
Gatlinburg Tennessee, USA
",
47.0%,null,Redemption Rum Cask Finish,null,null,https://distiller.com/spirits/redemption-rum-cask-finish,"
USA
",
55.4%,null,Bunnahabhain Moine 16Y Bourbon,null,null,https://distiller.com/spirits/bunnahabhain-moine-16y-bourbon,"
Islay, Scotland
",16
50.5%,null,Few Straight Bourbon Single Barrel-Special Selection,null,null,https://distiller.com/spirits/few-straight-bourbon-single-barrel-special-selection,"
USA
",
44.0%,null,Clonakilty Single Batch Double Oak Finish,null,null,https://distiller.com/spirits/clonakilty-single-batch-double-oak-finish,"
Clonakilty, Ireland
",
43.0%,null,GLENMORANGIE - 1974 (MILLENIUM BOTTLING) 50CL,null,null,https://distiller.com/spirits/glenmorangie-1974-millenium-bottling-50cl,"
Highland, Scotland
",1974
57.1%,null,Single Cask Nation Ledaig 13,null,null,https://distiller.com/spirits/single-cask-nation-ledaig-13,"
Islands, Scotland
",13
46.0%,null,Provenance single malt scotch whisky,null,null,https://distiller.com/spirits/provenance-single-malt-scotch-whisky,"
Scotland
",11
50.0%,null,Knaplund Rye whiskey Atlantic aged,null,null,https://distiller.com/spirits/knaplund-rye-whiskey-atlantic-aged,"
Denmark
",
%,null,Matsui,null,null,https://distiller.com/spirits/matsui,"
Japan
",
%,null,Eastern Kille Toasted Barrel Finish,null,null,https://distiller.com/spirits/eastern-kille-toasted-barrel-finish,"
Michigan, USA
",
40.0%,null,Rebecca Creek,null,null,https://distiller.com/spirits/rebecca-creek,"
Texas, USA
",
60.0%,null,Knob Creek Single Barrel Select TWM W-I F-06 R-02 10/14/2004 - 15 years,null,null,https://distiller.com/spirits/knob-creek-single-barrel-select-twm-w-i-f-06-r-02-10-14-2004-15-years,"
Kentucky , USA
",15
%,null,Few Spirits Straight Bourbon,null,null,https://distiller.com/spirits/few-spirits-straight-bourbon,"
USA
",
%,null,Glengrant,null,null,https://distiller.com/spirits/glengrant,"
Scotland
",
40.0%,https://ip.distiller.com/images/spirits/b5d55e70-274c-0138-d305-124fb0f02095/fils_du_roy_new_ireland_tile.jpg?1589413518,Fils du Roy New Ireland Whiskey,"Distillery Fils du Roy makes a variety of spirits ranging from absinthe to whiskey. For its New Ireland Whiskey, the malt spirit aged for three years in traditional oak casks. But instead of proofing with water, beer made with the same recipe as the whiskey was used. "," New Brunswick, Canada
",https://distiller.com/spirits/fils-du-roy-new-ireland-whiskey,"
Fils du Roy ",NAS
58.0%,null,Two Brewers Classic Cask Strength Release 10,null,null,https://distiller.com/spirits/two-brewers-classic-cask-strength-release-10,"
Yukon , Canada
",
100.0%,null,Valinch & Mallet Caol Ila,null,null,https://distiller.com/spirits/valinch-mallet-caol-ila,"
Islay, Scotland
",10
46.0%,null,Telluride Mountain Mash Whiskey,null,null,https://distiller.com/spirits/telluride-mountain-mash-whiskey,"
Telluride, CO, USA
",NAS
43.0%,null,Perfect Anytime AM - PM,null,null,https://distiller.com/spirits/perfect-anytime-am-pm,"
Memphis,TN, USA
",
51.6%,null,Longmorn 1985 28 years old (The Exclusive Malts),null,null,https://distiller.com/spirits/longmorn-1985-28-years-old-the-exclusive-malts,"
Speyside, Scotland
",28
59.3%,null,Glendronach Single Cask 1993 (cask 658),null,null,https://distiller.com/spirits/glendronach-single-cask-1993-cask-658,"
Highlands, Scotland
",25
50.9%,null,Willett Family Estate - 6 Year Bourbon - Barrel No. 702 (Husk Barrel Pick),null,null,https://distiller.com/spirits/willett-family-estate-6-year-bourbon-barrel-no-702-husk-barrel-pick,"
Bardatown, KY, USA
",6
55.7%,null,Strathclyde 29 Year Small Batch (Cadenhead's),null," Campbeltown, Scotland
",https://distiller.com/spirits/strathclyde-29-year-small-batch-cadenhead-s,"
Cadenhead Small Batch ",29 Year
